,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
34,<<eka-smfti>K1-ArUQAnAm>T2 <<anvita-anuBava>T6-janaka>T6 <<pada-gata>T2-<<anvita-aBiDAna>T7-SaktiH>T7>K1 <<<tAvat-pada>K1-vizayaka>Bs6-smaraRe>K1,eka smfti ArUQAnAm anvita anuBava janaka pada gata anvita aBiDAna SaktiH tAvat pada vizayaka smaraRe,B-C I-C I-C B-C I-C I-C B-C I-C I-C I-C I-C B-C I-C I-C I-C,"0,2 K1|0,3 T2|3,5 T6|3,6 T6|6,8 T2|6,11 K1|8,10 T7|8,11 T7|11,13 K1|11,14 Bs6|11,15 K1",<<eka-smfti>Tatpurusha-ArUQAnAm>Tatpurusha <<anvita-anuBava>Tatpurusha-janaka>Tatpurusha <<pada-gata>Tatpurusha-<<anvita-aBiDAna>Tatpurusha-SaktiH>Tatpurusha>Tatpurusha <<<tAvat-pada>Tatpurusha-vizayaka>Bahuvrihi-smaraRe>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha|6,8 Tatpurusha|6,11 Tatpurusha|8,10 Tatpurusha|8,11 Tatpurusha|11,13 Tatpurusha|11,14 Bahuvrihi|11,15 Tatpurusha"
35,<<A-jIvana>A1-kAlam>T6 <koza-pfzWAni>T6,A jIvana kAlam koza pfzWAni,B-C I-C I-C B-C I-C,"0,2 A1|0,3 T6|3,5 T6",<<A-jIvana>Avyayibhava-kAlam>Tatpurusha <koza-pfzWAni>Tatpurusha,"0,2 Avyayibhava|0,3 Tatpurusha|3,5 Tatpurusha"
36,<<vikasita-<Sata-patra>B-vu>K1-<rakta-netraH>K1>B,vikasita Sata patra vu rakta netraH,B-C I-C I-C I-C I-C I-C,"0,4 K1|0,6 B|1,3 B|4,6 K1",<<vikasita-<Sata-patra>Bahuvrihi-vu>Tatpurusha-<rakta-netraH>Tatpurusha>Bahuvrihi,"0,4 Tatpurusha|0,6 Bahuvrihi|1,3 Bahuvrihi|4,6 Tatpurusha"
37,<<<<<tIra-Adi>Bs6-rUpa>Bs6-saMbanDi>K1-smfti>T6-janaka>T6,tIra Adi rUpa saMbanDi smfti janaka,B-C I-C I-C I-C I-C I-C,"0,2 Bs6|0,3 Bs6|0,4 K1|0,5 T6|0,6 T6",<<<<<tIra-Adi>Bahuvrihi-rUpa>Bahuvrihi-saMbanDi>Tatpurusha-smfti>Tatpurusha-janaka>Tatpurusha,"0,2 Bahuvrihi|0,3 Bahuvrihi|0,4 Tatpurusha|0,5 Tatpurusha|0,6 Tatpurusha"
38,<hIbrU-BAzAyAM>K7 <<sAmAnya-samBAzaRa>K1-paryantam>T6,hIbrU BAzAyAM sAmAnya samBAzaRa paryantam,B-C I-C B-C I-C I-C,"0,2 K7|2,4 K1|2,5 T6",<hIbrU-BAzAyAM>Tatpurusha <<sAmAnya-samBAzaRa>Tatpurusha-paryantam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
39,<SrUyamARa-padEH>K1 <<vAkya-arTa>T6-boDam>T6,SrUyamARa padEH vAkya arTa boDam,B-C I-C B-C I-C I-C,"0,2 K1|2,4 T6|2,5 T6",<SrUyamARa-padEH>Tatpurusha <<vAkya-arTa>Tatpurusha-boDam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
40,<BavantI-paraH>T6 <<anuSAsana-jYAna>T6-aBAve>T6 <nirukta-sTale>K1 <paRqita-<na-BinnaH>Tn>T3,BavantI paraH anuSAsana jYAna aBAve nirukta sTale paRqita na BinnaH,B-C I-C B-C I-C I-C B-C I-C B-C I-C I-C,"0,2 T6|2,4 T6|2,5 T6|5,7 K1|7,10 T3|8,10 Tn",<BavantI-paraH>Tatpurusha <<anuSAsana-jYAna>Tatpurusha-aBAve>Tatpurusha <nirukta-sTale>Tatpurusha <paRqita-<na-BinnaH>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha|7,10 Tatpurusha|8,10 Tatpurusha"
41,<<praTama-SreRin>K1-loBa>T6,praTama SreRin loBa,B-C I-C I-C,"0,2 K1|0,3 T6",<<praTama-SreRin>Tatpurusha-loBa>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
42,<<<<<sva-guRa>T6-karma>T6-vElakzaRya>T6-Beda>T6-Binnezu>T3,sva guRa karma vElakzaRya Beda Binnezu,B-C I-C I-C I-C I-C I-C,"0,2 T6|0,3 T6|0,4 T6|0,5 T6|0,6 T3",<<<<<sva-guRa>Tatpurusha-karma>Tatpurusha-vElakzaRya>Tatpurusha-Beda>Tatpurusha-Binnezu>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|0,6 Tatpurusha"
43,<<<AKyAta-aBihita>T3-kartftva>K1-<na-vAcakatvasya>Tn>T6 <na-yukta>Tn,AKyAta aBihita kartftva na vAcakatvasya na yukta,B-C I-C I-C I-C I-C B-C I-C,"0,2 T3|0,3 K1|0,5 T6|3,5 Tn|5,7 Tn",<<<AKyAta-aBihita>Tatpurusha-kartftva>Tatpurusha-<na-vAcakatvasya>Tatpurusha>Tatpurusha <na-yukta>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,5 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha"
44,<<madya-nirmARa>T6-vyavasAyaH>T6,madya nirmARa vyavasAyaH,B-C I-C I-C,"0,2 T6|0,3 T6",<<madya-nirmARa>Tatpurusha-vyavasAyaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
45,<<anukfti-lakzya>T3-<rAjan-BAvaH>T6>Bs6,anukfti lakzya rAjan BAvaH,B-C I-C I-C I-C,"0,2 T3|0,4 Bs6|2,4 T6",<<anukfti-lakzya>Tatpurusha-<rAjan-BAvaH>Tatpurusha>Bahuvrihi,"0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Tatpurusha"
46,<sva-<vidyA-Alaye>T6>T6 <sundara-<hasta-akzarEH>T6>K1 <vidyA-Alaye>T6,sva vidyA Alaye sundara hasta akzarEH vidyA Alaye,B-C I-C I-C B-C I-C I-C B-C I-C,"0,3 T6|1,3 T6|3,6 K1|4,6 T6|6,8 T6",<sva-<vidyA-Alaye>Tatpurusha>Tatpurusha <sundara-<hasta-akzarEH>Tatpurusha>Tatpurusha <vidyA-Alaye>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,6 Tatpurusha|4,6 Tatpurusha|6,8 Tatpurusha"
47,<SrImat-<Bagavat-gItAsu>T6>K1 <brahma-vidyAyAm>T6 <yoga-SAstre>K7 <<SrIkfzRa-arjuna>Di-saMvAde>T6 <<<guRa-traya>T6-viBAga>T6-yogaH>K6,SrImat Bagavat gItAsu brahma vidyAyAm yoga SAstre SrIkfzRa arjuna saMvAde guRa traya viBAga yogaH,B-C I-C I-C B-C I-C B-C I-C B-C I-C I-C B-C I-C I-C I-C,"0,3 K1|1,3 T6|3,5 T6|5,7 K7|7,9 Di|7,10 T6|10,12 T6|10,13 T6|10,14 K6",<SrImat-<Bagavat-gItAsu>Tatpurusha>Tatpurusha <brahma-vidyAyAm>Tatpurusha <yoga-SAstre>Tatpurusha <<SrIkfzRa-arjuna>Dvandva-saMvAde>Tatpurusha <<<guRa-traya>Tatpurusha-viBAga>Tatpurusha-yogaH>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha|7,9 Dvandva|7,10 Tatpurusha|10,12 Tatpurusha|10,13 Tatpurusha|10,14 Tatpurusha"
48,<vi-lupta>Tp <lAvaRya-garvaH>T6 <daSavarza-anantaram>T6 <<fRa-BAra>T6-muktO>T6,vi lupta lAvaRya garvaH daSavarza anantaram fRa BAra muktO,B-C I-C B-C I-C B-C I-C B-C I-C I-C,"0,2 Tp|2,4 T6|4,6 T6|6,8 T6|6,9 T6",<vi-lupta>Tatpurusha <lAvaRya-garvaH>Tatpurusha <daSavarza-anantaram>Tatpurusha <<fRa-BAra>Tatpurusha-muktO>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|6,8 Tatpurusha|6,9 Tatpurusha"
49,<mayA-uktam>K6 <<rAjahaMsasya-anucaraH>T6-aham>K6,mayA uktam rAjahaMsasya anucaraH aham,B-C I-C B-C I-C I-C,"0,2 K6|2,4 T6|2,5 K6",<mayA-uktam>Tatpurusha <<rAjahaMsasya-anucaraH>Tatpurusha-aham>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
50,<<pada-arTa>T6-vfttiH>Bv,pada arTa vfttiH,B-C I-C I-C,"0,2 T6|0,3 Bv",<<pada-arTa>Tatpurusha-vfttiH>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
51,<<sarva-jana>K1-anukUlam>T4 <<miTyA-kalaNka>K1-<ud-BAvanA>Tp>T6,sarva jana anukUlam miTyA kalaNka ud BAvanA,B-C I-C I-C B-C I-C I-C I-C,"0,2 K1|0,3 T4|3,5 K1|3,7 T6|5,7 Tp",<<sarva-jana>Tatpurusha-anukUlam>Tatpurusha <<miTyA-kalaNka>Tatpurusha-<ud-BAvanA>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,7 Tatpurusha|5,7 Tatpurusha"
52,<<pratilipi-karaRa>T6-yantram>T6,pratilipi karaRa yantram,B-C I-C I-C,"0,2 T6|0,3 T6",<<pratilipi-karaRa>Tatpurusha-yantram>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
53,<<DanuH-bARa>Di-AdayaH>Bs6,DanuH bARa AdayaH,B-C I-C I-C,"0,2 Di|0,3 Bs6",<<DanuH-bARa>Dvandva-AdayaH>Bahuvrihi,"0,2 Dvandva|0,3 Bahuvrihi"
54,<<deva-viBUti>T6-arhasya>U <BAvi-kalyARasya>K1,deva viBUti arhasya BAvi kalyARasya,B-C I-C I-C B-C I-C,"0,2 T6|0,3 U|3,5 K1",<<deva-viBUti>Tatpurusha-arhasya>Tatpurusha <BAvi-kalyARasya>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
55,<<tattA-avagAhi>U-smaraRam>K1 <anuBava-sidDam>T3,tattA avagAhi smaraRam anuBava sidDam,B-C I-C I-C B-C I-C,"0,2 U|0,3 K1|3,5 T3",<<tattA-avagAhi>Tatpurusha-smaraRam>Tatpurusha <anuBava-sidDam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
56,<lakzya-veDAya>T6 <<lakzya-veDa>T6-<uttara-kAlam>K1>T6 <<ArabDa-vega>K1-kzayAt>T6,lakzya veDAya lakzya veDa uttara kAlam ArabDa vega kzayAt,B-C I-C B-C I-C I-C I-C B-C I-C I-C,"0,2 T6|2,4 T6|2,6 T6|4,6 K1|6,8 K1|6,9 T6",<lakzya-veDAya>Tatpurusha <<lakzya-veDa>Tatpurusha-<uttara-kAlam>Tatpurusha>Tatpurusha <<ArabDa-vega>Tatpurusha-kzayAt>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,6 Tatpurusha|4,6 Tatpurusha|6,8 Tatpurusha|6,9 Tatpurusha"
57,<<citra-pawa>T6-vyavasAye>T6,citra pawa vyavasAye,B-C I-C I-C,"0,2 T6|0,3 T6",<<citra-pawa>Tatpurusha-vyavasAye>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
58,<<<<sva-pratiyogi>T6-vAcaka>T6-tva-rUpa>Bs6-<paramparA-sambanDena>K7>K1 <Sabda-nizWa>Bv <Sabda-vyApAraH>T6,sva pratiyogi vAcaka tva rUpa paramparA sambanDena Sabda nizWa Sabda vyApAraH,B-C I-C I-C I-C I-C I-C I-C B-C I-C B-C I-C,"0,2 T6|0,3 T6|0,5 Bs6|0,7 K1|5,7 K7|7,9 Bv|9,11 T6",<<<<sva-pratiyogi>Tatpurusha-vAcaka>Tatpurusha-tva-rUpa>Bahuvrihi-<paramparA-sambanDena>Tatpurusha>Tatpurusha <Sabda-nizWa>Bahuvrihi <Sabda-vyApAraH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,5 Bahuvrihi|0,7 Tatpurusha|5,7 Tatpurusha|7,9 Bahuvrihi|9,11 Tatpurusha"
59,<Bfgu-<mahat-fzim>K1>K7,Bfgu mahat fzim,B-C I-C I-C,"0,3 K7|1,3 K1",<Bfgu-<mahat-fzim>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha"
60,<<BIta-BIta>d-svaBAvaH>K1 <nava-vaDUnAM>K1,BIta BIta svaBAvaH nava vaDUnAM,B-C I-C I-C B-C I-C,"0,2 d|0,3 K1|3,5 K1",<<BIta-BIta>Dvandva-svaBAvaH>Tatpurusha <nava-vaDUnAM>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|3,5 Tatpurusha"
61,<<aBinandana-granTa>T6-prakASanAya>T6 <SoDa-leKA>T6,aBinandana granTa prakASanAya SoDa leKA,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 T6",<<aBinandana-granTa>Tatpurusha-prakASanAya>Tatpurusha <SoDa-leKA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
62,<<<<<<<boDa-janaka>T6-tA-avacCedaka>T6-BUta>K1-<<vAcya-vAcaka>Di-BAva>T6>K1-AKya>Bs6-<atirikta-saMbanDa>K1>K1-parA>T6 <maYjUzA-kAraH>U,boDa janaka tA avacCedaka BUta vAcya vAcaka BAva AKya atirikta saMbanDa parA maYjUzA kAraH,B-C I-C I-C I-C I-C I-C I-C I-C I-C I-C I-C I-C B-C I-C,"0,2 T6|0,4 T6|0,5 K1|0,8 K1|0,9 Bs6|0,11 K1|0,12 T6|5,7 Di|5,8 T6|9,11 K1|12,14 U",<<<<<<<boDa-janaka>Tatpurusha-tA-avacCedaka>Tatpurusha-BUta>Tatpurusha-<<vAcya-vAcaka>Dvandva-BAva>Tatpurusha>Tatpurusha-AKya>Bahuvrihi-<atirikta-saMbanDa>Tatpurusha>Tatpurusha-parA>Tatpurusha <maYjUzA-kAraH>Tatpurusha,"0,2 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|0,8 Tatpurusha|0,9 Bahuvrihi|0,11 Tatpurusha|0,12 Tatpurusha|5,7 Dvandva|5,8 Tatpurusha|9,11 Tatpurusha|12,14 Tatpurusha"
63,<<eka-BAva>Km-ASrayARAm>Bs6,eka BAva ASrayARAm,B-C I-C I-C,"0,2 Km|0,3 Bs6",<<eka-BAva>Tatpurusha-ASrayARAm>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
64,<<<praTamA-anta>Bv-arTa>T6-<cEtra-AdeH>Bs6>K1,praTamA anta arTa cEtra AdeH,B-C I-C I-C I-C I-C,"0,2 Bv|0,3 T6|0,5 K1|3,5 Bs6",<<<praTamA-anta>Bahuvrihi-arTa>Tatpurusha-<cEtra-AdeH>Bahuvrihi>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha|0,5 Tatpurusha|3,5 Bahuvrihi"
