,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
15,<<brahma-veda>Di-praharttAram>U,brahma veda praharttAram,B-C I-C I-C,"0,2 Di|0,3 U",<<brahma-veda>Dvandva-praharttAram>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
16,<<veda-mantra>Di-AdyAn>Bs6,veda mantra AdyAn,B-C I-C I-C,"0,2 Di|0,3 Bs6",<<veda-mantra>Dvandva-AdyAn>Bahuvrihi,"0,2 Dvandva|0,3 Bahuvrihi"
17,<<kUrma-avatAra>T6-varRanam>T6,kUrma avatAra varRanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<kUrma-avatAra>Tatpurusha-varRanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
18,<<kzIra-abDi>T6-gam>U,kzIra abDi gam,B-C I-C I-C,"0,2 T6|0,3 U",<<kzIra-abDi>Tatpurusha-gam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
19,<<<kzIra-abDi>T6-maTana>T6-arTam>T4 <amfta-arTam>T4,kzIra abDi maTana arTam amfta arTam,B-C I-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|0,4 T4|4,6 T4",<<<kzIra-abDi>Tatpurusha-maTana>Tatpurusha-arTam>Tatpurusha <amfta-arTam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Tatpurusha"
20,<<kArya-arTa>T4-gOrave>T6,kArya arTa gOrave,B-C I-C I-C,"0,2 T4|0,3 T6",<<kArya-arTa>Tatpurusha-gOrave>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
21,<<PaRi-niHSvAsa>T6-santaptAH>T3,PaRi niHSvAsa santaptAH,B-C I-C I-C,"0,2 T6|0,3 T3",<<PaRi-niHSvAsa>Tatpurusha-santaptAH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
22,<jamBa-AdyAH>Bs6 <<strI-rUpa>T6-Dfk>U,jamBa AdyAH strI rUpa Dfk,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 T6|2,5 U",<jamBa-AdyAH>Bahuvrihi <<strI-rUpa>Tatpurusha-Dfk>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
23,<<candra-rUpa>T6-DaraH>U <arka-indunA>Di,candra rUpa DaraH arka indunA,B-C I-C I-C B-C I-C,"0,2 T6|0,3 U|3,5 Di",<<candra-rUpa>Tatpurusha-DaraH>Tatpurusha <arka-indunA>Dvandva,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Dvandva"
24,<<sva-rUpa>T6-sTaH>U,sva rUpa sTaH,B-C I-C I-C,"0,2 T6|0,3 U",<<sva-rUpa>Tatpurusha-sTaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
25,<<tri-diva>U-sTAH>U <tri-divam>U,tri diva sTAH tri divam,B-C I-C I-C B-C I-C,"0,2 U|0,3 U|3,5 U",<<tri-diva>Tatpurusha-sTAH>Tatpurusha <tri-divam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
26,<<<varAha-adi>Bs6-avatAra>K1-varRanam>T6,varAha adi avatAra varRanam,B-C I-C I-C I-C,"0,2 Bs6|0,3 K1|0,4 T6",<<<varAha-adi>Bahuvrihi-avatAra>Tatpurusha-varRanam>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha|0,4 Tatpurusha"
27,<<<<Darma-deva>Di-Adi>Bs6-rakzA>T6-kft>U,Darma deva Adi rakzA kft,B-C I-C I-C I-C I-C,"0,2 Di|0,3 Bs6|0,4 T6|0,5 U",<<<<Darma-deva>Dvandva-Adi>Bahuvrihi-rakzA>Tatpurusha-kft>Tatpurusha,"0,2 Dvandva|0,3 Bahuvrihi|0,4 Tatpurusha|0,5 Tatpurusha"
28,<jita-<deva-<yajYa-BAgaH>T6>Di>Bs3 <<sarva-deva>K1-<aDikAra-kft>U>T6,jita deva yajYa BAgaH sarva deva aDikAra kft,B-C I-C I-C I-C B-C I-C I-C I-C,"0,4 Bs3|1,4 Di|2,4 T6|4,6 K1|4,8 T6|6,8 U",<jita-<deva-<yajYa-BAgaH>Tatpurusha>Dvandva>Bahuvrihi <<sarva-deva>Tatpurusha-<aDikAra-kft>Tatpurusha>Tatpurusha,"0,4 Bahuvrihi|1,4 Dvandva|2,4 Tatpurusha|4,6 Tatpurusha|4,8 Tatpurusha|6,8 Tatpurusha"
29,<<sva-pada>T6-sTAn>U,sva pada sTAn,B-C I-C I-C,"0,2 T6|0,3 U",<<sva-pada>Tatpurusha-sTAn>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
30,<<BU-BAra>T6-haraRAya>T6,BU BAra haraRAya,B-C I-C I-C,"0,2 T6|0,3 T6",<<BU-BAra>Tatpurusha-haraRAya>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
31,<<<deva-vipra>Di-Adi>Bs6-pAlakaH>T6,deva vipra Adi pAlakaH,B-C I-C I-C I-C,"0,2 Di|0,3 Bs6|0,4 T6",<<<deva-vipra>Dvandva-Adi>Bahuvrihi-pAlakaH>Tatpurusha,"0,2 Dvandva|0,3 Bahuvrihi|0,4 Tatpurusha"
32,<<Sastra-pAra>T6-gaH>U,Sastra pAra gaH,B-C I-C I-C,"0,2 T6|0,3 U",<<Sastra-pAra>Tatpurusha-gaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
33,<sahasra-bAhuH>Bs6 <<sarva-urvI>K1-patiH>T6,sahasra bAhuH sarva urvI patiH,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 K1|2,5 T6",<sahasra-bAhuH>Bahuvrihi <<sarva-urvI>Tatpurusha-patiH>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
34,<<pitf-nASa>T6-aBimarzitaH>T3,pitf nASa aBimarzitaH,B-C I-C I-C,"0,2 T6|0,3 T3",<<pitf-nASa>Tatpurusha-aBimarzitaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
35,<mahat-purARe>K1 <<<varAha-nfsiMha>Di-Adi>Bs6-avatAraH>K1,mahat purARe varAha nfsiMha Adi avatAraH,B-C I-C B-C I-C I-C I-C,"0,2 K1|2,4 Di|2,5 Bs6|2,6 K1",<mahat-purARe>Tatpurusha <<<varAha-nfsiMha>Dvandva-Adi>Bahuvrihi-avatAraH>Tatpurusha,"0,2 Tatpurusha|2,4 Dvandva|2,5 Bahuvrihi|2,6 Tatpurusha"
36,<<SrIrAma-avatAra>T6-varRanam>T6,SrIrAma avatAra varRanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<SrIrAma-avatAra>Tatpurusha-varRanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
37,<<Bukti-mukti>Di-dam>U,Bukti mukti dam,B-C I-C I-C,"0,2 Di|0,3 U",<<Bukti-mukti>Dvandva-dam>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
38,<<<vizRu-nABi>T6-abja>K6-jaH>T5,vizRu nABi abja jaH,B-C I-C I-C I-C,"0,2 T6|0,3 K6|0,4 T5",<<<vizRu-nABi>Tatpurusha-abja>Tatpurusha-jaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha"
39,<<yajYa-viGna>T6-vinASAya>T6 <viSvAmitra-arTitaH>T3,yajYa viGna vinASAya viSvAmitra arTitaH,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 T3",<<yajYa-viGna>Tatpurusha-vinASAya>Tatpurusha <viSvAmitra-arTitaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
40,<astra-SastrARi>Di <<tAqakA-anta>T6-kft>U,astra SastrARi tAqakA anta kft,B-C I-C B-C I-C I-C,"0,2 Di|2,4 T6|2,5 U",<astra-SastrARi>Dvandva <<tAqakA-anta>Tatpurusha-kft>Tatpurusha,"0,2 Dvandva|2,4 Tatpurusha|2,5 Tatpurusha"
41,<vIrya-SulkAm>Bs6 <na-<yoni-jAm>U>Tn,vIrya SulkAm na yoni jAm,B-C I-C B-C I-C I-C,"0,2 Bs6|2,5 Tn|3,5 U",<vIrya-SulkAm>Bahuvrihi <na-<yoni-jAm>Tatpurusha>Tatpurusha,"0,2 Bahuvrihi|2,5 Tatpurusha|3,5 Tatpurusha"
42,<<pitf-Adi>Bs6-vacanam>T6,pitf Adi vacanam,B-C I-C I-C,"0,2 Bs6|0,3 T6",<<pitf-Adi>Bahuvrihi-vacanam>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
43,<vasizWa-AdIn>Bs6 <rAma-<rAjya-aBizecane>T7>T6,vasizWa AdIn rAma rAjya aBizecane,B-C I-C B-C I-C I-C,"0,2 Bs6|2,5 T6|3,5 T7",<vasizWa-AdIn>Bahuvrihi <rAma-<rAjya-aBizecane>Tatpurusha>Tatpurusha,"0,2 Bahuvrihi|2,5 Tatpurusha|3,5 Tatpurusha"
44,<rAma-<rAjya-aBizecanam>T7>T6,rAma rAjya aBizecanam,B-C I-C I-C,"0,3 T6|1,3 T7",<rAma-<rAjya-aBizecanam>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha"
45,<<catur-daSa>Ds-samAH>K1,catur daSa samAH,B-C I-C I-C,"0,2 Ds|0,3 K1",<<catur-daSa>Dvandva-samAH>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
46,<<sarva-loka>K1-<<na-priyam>Tn-kari>U>T6,sarva loka na priyam kari,B-C I-C I-C I-C I-C,"0,2 K1|0,5 T6|2,4 Tn|2,5 U",<<sarva-loka>Tatpurusha-<<na-priyam>Tatpurusha-kari>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|0,5 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
47,<<satya-pASa>K6-nibadDaH>T3,satya pASa nibadDaH,B-C I-C I-C,"0,2 K6|0,3 T3",<<satya-pASa>Tatpurusha-nibadDaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
48,<rAma-lakzmaRa-sItAH>Di,rAma lakzmaRa sItAH,B-C I-C I-C,"0,3 Di",<rAma-lakzmaRa-sItAH>Dvandva,"0,3 Dvandva"
49,<sUta-mAgaDa-vandinaH>Di,sUta mAgaDa vandinaH,B-C I-C I-C,"0,3 Di",<sUta-mAgaDa-vandinaH>Dvandva,"0,3 Dvandva"
50,<<tEla-droRi>T6-sTam>U <sarayU-tawe>T6,tEla droRi sTam sarayU tawe,B-C I-C I-C B-C I-C,"0,2 T6|0,3 U|3,5 T6",<<tEla-droRi>Tatpurusha-sTam>Tatpurusha <sarayU-tawe>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
51,<<yuzmad-AdeSa>T6-pratIkzakaH>T6,yuzmad AdeSa pratIkzakaH,B-C I-C I-C,"0,2 T6|0,3 T6",<<yuzmad-AdeSa>Tatpurusha-pratIkzakaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
52,<<cIra-jawA>Di-DaraH>U,cIra jawA DaraH,B-C I-C I-C,"0,2 Di|0,3 U",<<cIra-jawA>Dvandva-DaraH>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
53,<<catur-daSa>Ds-sahasrakEH>Km,catur daSa sahasrakEH,B-C I-C I-C,"0,2 Ds|0,3 Km",<<catur-daSa>Dvandva-sahasrakEH>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
54,<hastan-aSva-raTa-pAdAtam>Ds <yama-kzayam>T6,hastan aSva raTa pAdAtam yama kzayam,B-C I-C I-C I-C B-C I-C,"0,4 Ds|4,6 T6",<hastan-aSva-raTa-pAdAtam>Dvandva <yama-kzayam>Tatpurusha,"0,4 Dvandva|4,6 Tatpurusha"
55,<<Kara-Adi>Bs6-hantuH>U,Kara Adi hantuH,B-C I-C I-C,"0,2 Bs6|0,3 U",<<Kara-Adi>Bahuvrihi-hantuH>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
56,<<rAma-lakzmaRa>Di-raktasya>T6,rAma lakzmaRa raktasya,B-C I-C I-C,"0,2 Di|0,3 T6",<<rAma-lakzmaRa>Dvandva-raktasya>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
57,<<svarRa-citra>T6-mfgaH>T6 <<rAma-lakzmaRa>Di-karzakaH>U,svarRa citra mfgaH rAma lakzmaRa karzakaH,B-C I-C I-C B-C I-C I-C,"0,2 T6|0,3 T6|3,5 Di|3,6 U",<<svarRa-citra>Tatpurusha-mfgaH>Tatpurusha <<rAma-lakzmaRa>Dvandva-karzakaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Dvandva|3,6 Tatpurusha"
58,<<SrIrAma-avatAra>T6-kaTanam>T6,SrIrAma avatAra kaTanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<SrIrAma-avatAra>Tatpurusha-kaTanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
59,<<<pUrva-paScima-uttara>Di-mArga>T6-gAH>U,pUrva paScima uttara mArga gAH,B-C I-C I-C I-C I-C,"0,3 Di|0,4 T6|0,5 U",<<<pUrva-paScima-uttara>Dvandva-mArga>Tatpurusha-gAH>Tatpurusha,"0,3 Dvandva|0,4 Tatpurusha|0,5 Tatpurusha"
60,<<rAma-vArttA>T6-SravAt>T6,rAma vArttA SravAt,B-C I-C I-C,"0,2 T6|0,3 T6",<<rAma-vArttA>Tatpurusha-SravAt>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
61,<<aSoka-vanikA>K7-gatAm>T2 <laNkA-gatAm>T2,aSoka vanikA gatAm laNkA gatAm,B-C I-C I-C B-C I-C,"0,2 K7|0,3 T2|3,5 T2",<<aSoka-vanikA>Tatpurusha-gatAm>Tatpurusha <laNkA-gatAm>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
62,<<Sata-yojana>K1-vistIrRe>T3 <lavaRa-abDO>K7,Sata yojana vistIrRe lavaRa abDO,B-C I-C I-C B-C I-C,"0,2 K1|0,3 T3|3,5 K7",<<Sata-yojana>Tatpurusha-vistIrRe>Tatpurusha <lavaRa-abDO>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
63,<jIvana-arTAya>T4 <<rAma-kAryya>T6-prasidDaye>T6,jIvana arTAya rAma kAryya prasidDaye,B-C I-C B-C I-C I-C,"0,2 T4|2,4 T6|2,5 T6",<jIvana-arTAya>Tatpurusha <<rAma-kAryya>Tatpurusha-prasidDaye>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
64,<<Sata-yojana>K1-vistIrRam>T3,Sata yojana vistIrRam,B-C I-C I-C,"0,2 K1|0,3 T3",<<Sata-yojana>Tatpurusha-vistIrRam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
65,<<pAna-BUmI>T6-AdO>Bs6 <cintA-parAyaRaH>T6,pAna BUmI AdO cintA parAyaRaH,B-C I-C I-C B-C I-C,"0,2 T6|0,3 Bs6|3,5 T6",<<pAna-BUmI>Tatpurusha-AdO>Bahuvrihi <cintA-parAyaRaH>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Tatpurusha"
66,<<<kAka-akzi>T6-pAtana>T6-kaTAm>T6 <Soka-ha>U,kAka akzi pAtana kaTAm Soka ha,B-C I-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|0,4 T6|4,6 U",<<<kAka-akzi>Tatpurusha-pAtana>Tatpurusha-kaTAm>Tatpurusha <Soka-ha>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Tatpurusha"
67,<<daSagrIva-darSana>T6-upAyam>T6,daSagrIva darSana upAyam,B-C I-C I-C,"0,2 T6|0,3 T6",<<daSagrIva-darSana>Tatpurusha-upAyam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
68,<tat-pAlAn>T6 <<danta-naKa>Ds-AdiBiH>Bs6,tat pAlAn danta naKa AdiBiH,B-C I-C B-C I-C I-C,"0,2 T6|2,4 Ds|2,5 Bs6",<tat-pAlAn>Tatpurusha <<danta-naKa>Dvandva-AdiBiH>Bahuvrihi,"0,2 Tatpurusha|2,4 Dvandva|2,5 Bahuvrihi"
69,<<sItA-kaTA>T6-amftena>K7 <<kAma-vahni>K7-gam>U,sItA kaTA amftena kAma vahni gam,B-C I-C I-C B-C I-C I-C,"0,2 T6|0,3 K7|3,5 K7|3,6 U",<<sItA-kaTA>Tatpurusha-amftena>Tatpurusha <<kAma-vahni>Tatpurusha-gam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha"
70,<<saNgrAma-udData>T7-rAkzasaH>K1,saNgrAma udData rAkzasaH,B-C I-C I-C,"0,2 T7|0,3 K1",<<saNgrAma-udData>Tatpurusha-rAkzasaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
71,<<Sara-Sakti-gadA>Di-AdiBiH>Bs6,Sara Sakti gadA AdiBiH,B-C I-C I-C I-C,"0,3 Di|0,4 Bs6",<<Sara-Sakti-gadA>Dvandva-AdiBiH>Bahuvrihi,"0,3 Dvandva|0,4 Bahuvrihi"
72,<<naKa-danta-SilA>Di-AdiBiH>Bs6,naKa danta SilA AdiBiH,B-C I-C I-C I-C,"0,3 Di|0,4 Bs6",<<naKa-danta-SilA>Dvandva-AdiBiH>Bahuvrihi,"0,3 Dvandva|0,4 Bahuvrihi"
73,<hasti-aSva-raTa-pAdAtam>Ds,hasti aSva raTa pAdAtam,B-C I-C I-C I-C,"0,4 Ds",<hasti-aSva-raTa-pAdAtam>Dvandva,"0,4 Dvandva"
74,<<karRa-nAsA>Di-vihInaH>T3,karRa nAsA vihInaH,B-C I-C I-C,"0,2 Di|0,3 T3",<<karRa-nAsA>Dvandva-vihInaH>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
75,<a-vraRO>Bsmn <<mAruti-AnIta>T3-parvate>K1,a vraRO mAruti AnIta parvate,B-C I-C B-C I-C I-C,"0,2 Bsmn|2,4 T3|2,5 K1",<a-vraRO>Bahuvrihi <<mAruti-AnIta>Tatpurusha-parvate>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
76,<<Darmma-kAma>Di-AdIn>Bs6 <duzwa-nigrahaRe>T6,Darmma kAma AdIn duzwa nigrahaRe,B-C I-C I-C B-C I-C,"0,2 Di|0,3 Bs6|3,5 T6",<<Darmma-kAma>Dvandva-AdIn>Bahuvrihi <duzwa-nigrahaRe>Tatpurusha,"0,2 Dvandva|0,3 Bahuvrihi|3,5 Tatpurusha"
77,<<sarva-Darmma>K1-paraH>Bs6 <sarva-sasyA>Bs7,sarva Darmma paraH sarva sasyA,B-C I-C I-C B-C I-C,"0,2 K1|0,3 Bs6|3,5 Bs7",<<sarva-Darmma>Tatpurusha-paraH>Bahuvrihi <sarva-sasyA>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Bahuvrihi"
78,<<na-kAla>Tn-maraRam>T7,na kAla maraRam,B-C I-C I-C,"0,2 Tn|0,3 T7",<<na-kAla>Tatpurusha-maraRam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
79,<brahman-<Atman-jaH>U>T6,brahman Atman jaH,B-C I-C I-C,"0,3 T6|1,3 U",<brahman-<Atman-jaH>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha"
80,<<<deva-prArTita>T3-rAma>K1-uktaH>T3 <lavaRa-arddanaH>U,deva prArTita rAma uktaH lavaRa arddanaH,B-C I-C I-C I-C B-C I-C,"0,2 T3|0,3 K1|0,4 T3|4,6 U",<<<deva-prArTita>Tatpurusha-rAma>Tatpurusha-uktaH>Tatpurusha <lavaRa-arddanaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Tatpurusha"
81,<duzwa-ganDarvam>K1 <<sinDu-tIra>T6-nivAsinam>U,duzwa ganDarvam sinDu tIra nivAsinam,B-C I-C B-C I-C I-C,"0,2 K1|2,4 T6|2,5 U",<duzwa-ganDarvam>Tatpurusha <<sinDu-tIra>Tatpurusha-nivAsinam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
82,<<daSan-varza>Km-sahasrARi>T6 <<daSan-varza>Km-SatAni>T6,daSan varza sahasrARi daSan varza SatAni,B-C I-C I-C B-C I-C I-C,"0,2 Km|0,3 T6|3,5 Km|3,6 T6",<<daSan-varza>Tatpurusha-sahasrARi>Tatpurusha <<daSan-varza>Tatpurusha-SatAni>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha"
83,<sa-pOraH>BvS <sa-<anu-jaH>U>BvS <sItA-putraH>T6 <janapada-anvitaH>T3,sa pOraH sa anu jaH sItA putraH janapada anvitaH,B-C I-C B-C I-C I-C B-C I-C B-C I-C,"0,2 BvS|2,5 BvS|3,5 U|5,7 T6|7,9 T3",<sa-pOraH>Bahuvrihi <sa-<anu-jaH>Tatpurusha>Bahuvrihi <sItA-putraH>Tatpurusha <janapada-anvitaH>Tatpurusha,"0,2 Bahuvrihi|2,5 Bahuvrihi|3,5 Tatpurusha|5,7 Tatpurusha|7,9 Tatpurusha"
84,<<SrIhari-vaMSa>T6-varRanam>T6,SrIhari vaMSa varRanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<SrIhari-vaMSa>Tatpurusha-varRanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
85,<hari-vaMSam>T6 <<vizRu-nABi>T6-<ambu-jAt>U>K6,hari vaMSam vizRu nABi ambu jAt,B-C I-C B-C I-C I-C I-C,"0,2 T6|2,4 T6|2,6 K6|4,6 U",<hari-vaMSam>Tatpurusha <<vizRu-nABi>Tatpurusha-<ambu-jAt>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,6 Tatpurusha|4,6 Tatpurusha"
