,Raw_Tagged,Book,Clean,Bio_tagged,Span_Tagged,Coarse_Span_Tagged,Coarse_tag
10,"taTA te kaTayizyAmi hetum <<matsya-Adi>Bs6-rUpa>T6 in
",agnipurana,"taTA te kaTayizyAmi hetum matsya Adi rUpa in
",O O O O B-C I-C I-C O,"4,6 Bs6|4,7 T6","4,6 Bahuvrihi|4,7 Tatpurusha","taTA te kaTayizyAmi hetum <<matsya-Adi>Bahuvrihi-rUpa>Tatpurusha in
"
11,"<<matsya-avatAra>T6-varRanam>T6
",agnipurana,"matsya avatAra varRanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<matsya-avatAra>Tatpurusha-varRanam>Tatpurusha
"
12,"<<matsya-Adi>Bs6-rUpa>T6 in vizRum brUhi <<sarga-Adi>Bs6-kAraRam>T6
",agnipurana,"matsya Adi rUpa in vizRum brUhi sarga Adi kAraRam
",B-C I-C I-C O O O B-C I-C I-C,"0,2 Bs6|0,3 T6|6,8 Bs6|6,9 T6","0,2 Bahuvrihi|0,3 Tatpurusha|6,8 Bahuvrihi|6,9 Tatpurusha","<<matsya-Adi>Bahuvrihi-rUpa>Tatpurusha in vizRum brUhi <<sarga-Adi>Bahuvrihi-kAraRam>Tatpurusha
"
13,"AsIt <<atIta-kalpa>K1-ante>T6 brAhmaH nEmittikaH layaH
",agnipurana,"AsIt atIta kalpa ante brAhmaH nEmittikaH layaH
",O B-C I-C I-C O O O,"1,3 K1|1,4 T6","1,3 Tatpurusha|1,4 Tatpurusha","AsIt <<atIta-kalpa>Tatpurusha-ante>Tatpurusha brAhmaH nEmittikaH layaH
"
14,"<<eka-SfNga>Km-DaraH>U matsyaH hEmaH <niyuta-yojanaH>Bs6
",agnipurana,"eka SfNga DaraH matsyaH hEmaH niyuta yojanaH
",B-C I-C I-C O O B-C I-C,"0,2 Km|0,3 U|5,7 Bs6","0,2 Tatpurusha|0,3 Tatpurusha|5,7 Bahuvrihi","<<eka-SfNga>Tatpurusha-DaraH>Tatpurusha matsyaH hEmaH <niyuta-yojanaH>Bahuvrihi
"
15,"<<brahma-veda>Di-praharttAram>U hayagrIvam ca dAnavam
",agnipurana,"brahma veda praharttAram hayagrIvam ca dAnavam
",B-C I-C I-C O O O,"0,2 Di|0,3 U","0,2 Dvandva|0,3 Tatpurusha","<<brahma-veda>Dvandva-praharttAram>Tatpurusha hayagrIvam ca dAnavam
"
16,"avaDIt <<veda-mantra>Di-AdyAn>Bs6 pAlayAmAsa keSavaH
",agnipurana,"avaDIt veda mantra AdyAn pAlayAmAsa keSavaH
",O B-C I-C I-C O O,"1,3 Di|1,4 Bs6","1,3 Dvandva|1,4 Bahuvrihi","avaDIt <<veda-mantra>Dvandva-AdyAn>Bahuvrihi pAlayAmAsa keSavaH
"
17,"<<kUrma-avatAra>T6-varRanam>T6
",agnipurana,"kUrma avatAra varRanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<kUrma-avatAra>Tatpurusha-varRanam>Tatpurusha
"
18,"stutvA <<kzIra-abDi>T6-gam>U vizRum UcuH pAlaya ca asurAt
",agnipurana,"stutvA kzIra abDi gam vizRum UcuH pAlaya ca asurAt
",O B-C I-C I-C O O O O O,"1,3 T6|1,4 U","1,3 Tatpurusha|1,4 Tatpurusha","stutvA <<kzIra-abDi>Tatpurusha-gam>Tatpurusha vizRum UcuH pAlaya ca asurAt
"
19,"<<<kzIra-abDi>T6-maTana>T6-arTam>T4 hi <amfta-arTam>T4 Sriye asurAH
",agnipurana,"kzIra abDi maTana arTam hi amfta arTam Sriye asurAH
",B-C I-C I-C I-C O B-C I-C O O,"0,2 T6|0,3 T6|0,4 T4|5,7 T4","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|5,7 Tatpurusha","<<<kzIra-abDi>Tatpurusha-maTana>Tatpurusha-arTam>Tatpurusha hi <amfta-arTam>Tatpurusha Sriye asurAH
"
20,"arayaH api hi sanDeyAH sati <<kArya-arTa>T4-gOrave>T6
",agnipurana,"arayaH api hi sanDeyAH sati kArya arTa gOrave
",O O O O O B-C I-C I-C,"5,7 T4|5,8 T6","5,7 Tatpurusha|5,8 Tatpurusha","arayaH api hi sanDeyAH sati <<kArya-arTa>Tatpurusha-gOrave>Tatpurusha
"
21,"<<PaRi-niHSvAsa>T6-santaptAH>T3 hariRA ApyAyitAH surAH
",agnipurana,"PaRi niHSvAsa santaptAH hariRA ApyAyitAH surAH
",B-C I-C I-C O O O,"0,2 T6|0,3 T3","0,2 Tatpurusha|0,3 Tatpurusha","<<PaRi-niHSvAsa>Tatpurusha-santaptAH>Tatpurusha hariRA ApyAyitAH surAH
"
22,"gfhItvA jagmuH <jamBa-AdyAH>Bs6 vizRuH <<strI-rUpa>T6-Dfk>U tataH
",agnipurana,"gfhItvA jagmuH jamBa AdyAH vizRuH strI rUpa Dfk tataH
",O O B-C I-C O B-C I-C I-C O,"2,4 Bs6|5,7 T6|5,8 U","2,4 Bahuvrihi|5,7 Tatpurusha|5,8 Tatpurusha","gfhItvA jagmuH <jamBa-AdyAH>Bahuvrihi vizRuH <<strI-rUpa>Tatpurusha-Dfk>Tatpurusha tataH
"
23,"<<candra-rUpa>T6-DaraH>U rAhuH piban ca <arka-indunA>Di arpitaH
",agnipurana,"candra rUpa DaraH rAhuH piban ca arka indunA arpitaH
",B-C I-C I-C O O O B-C I-C O,"0,2 T6|0,3 U|6,8 Di","0,2 Tatpurusha|0,3 Tatpurusha|6,8 Dvandva","<<candra-rUpa>Tatpurusha-DaraH>Tatpurusha rAhuH piban ca <arka-indunA>Dvandva arpitaH
"
24,"mAyA iyam iti tAm jYAtvA <<sva-rUpa>T6-sTaH>U aBavat haraH
",agnipurana,"mAyA iyam iti tAm jYAtvA sva rUpa sTaH aBavat haraH
",O O O O O B-C I-C I-C O O,"5,7 T6|5,8 U","5,7 Tatpurusha|5,8 Tatpurusha","mAyA iyam iti tAm jYAtvA <<sva-rUpa>Tatpurusha-sTaH>Tatpurusha aBavat haraH
"
25,"<<tri-diva>U-sTAH>U surAH ca Asan yaH paWet <tri-divam>U vrajet
",agnipurana,"tri diva sTAH surAH ca Asan yaH paWet tri divam vrajet
",B-C I-C I-C O O O O O B-C I-C O,"0,2 U|0,3 U|8,10 U","0,2 Tatpurusha|0,3 Tatpurusha|8,10 Tatpurusha","<<tri-diva>Tatpurusha-sTAH>Tatpurusha surAH ca Asan yaH paWet <tri-divam>Tatpurusha vrajet
"
26,"<<<varAha-adi>Bs6-avatAra>K1-varRanam>T6
",agnipurana,"varAha adi avatAra varRanam
",B-C I-C I-C I-C,"0,2 Bs6|0,3 K1|0,4 T6","0,2 Bahuvrihi|0,3 Tatpurusha|0,4 Tatpurusha","<<<varAha-adi>Bahuvrihi-avatAra>Tatpurusha-varRanam>Tatpurusha
"
27,"<<<<Darma-deva>Di-Adi>Bs6-rakzA>T6-kft>U tataH saH antarddaDe hariH
",agnipurana,"Darma deva Adi rakzA kft tataH saH antarddaDe hariH
",B-C I-C I-C I-C I-C O O O O,"0,2 Di|0,3 Bs6|0,4 T6|0,5 U","0,2 Dvandva|0,3 Bahuvrihi|0,4 Tatpurusha|0,5 Tatpurusha","<<<<Darma-deva>Dvandva-Adi>Bahuvrihi-rakzA>Tatpurusha-kft>Tatpurusha tataH saH antarddaDe hariH
"
28,"<jita-<deva-<yajYa-BAgaH>T6>Di>Bs3 <<sarva-deva>K1-<aDikAra-kft>U>T6
",agnipurana,"jita deva yajYa BAgaH sarva deva aDikAra kft
",B-C I-C I-C I-C B-C I-C I-C I-C,"0,4 Bs3|1,4 Di|2,4 T6|4,6 K1|4,8 T6|6,8 U","0,4 Bahuvrihi|1,4 Dvandva|2,4 Tatpurusha|4,6 Tatpurusha|4,8 Tatpurusha|6,8 Tatpurusha","<jita-<deva-<yajYa-BAgaH>Tatpurusha>Dvandva>Bahuvrihi <<sarva-deva>Tatpurusha-<aDikAra-kft>Tatpurusha>Tatpurusha
"
29,"<<sva-pada>T6-sTAn>U surAn cakre nArasiMhaH surEH stutaH
",agnipurana,"sva pada sTAn surAn cakre nArasiMhaH surEH stutaH
",B-C I-C I-C O O O O O,"0,2 T6|0,3 U","0,2 Tatpurusha|0,3 Tatpurusha","<<sva-pada>Tatpurusha-sTAn>Tatpurusha surAn cakre nArasiMhaH surEH stutaH
"
30,"udDatAn kzatriyAn matvA <<BU-BAra>T6-haraRAya>T6 saH
",agnipurana,"udDatAn kzatriyAn matvA BU BAra haraRAya saH
",O O O B-C I-C I-C O,"3,5 T6|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","udDatAn kzatriyAn matvA <<BU-BAra>Tatpurusha-haraRAya>Tatpurusha saH
"
31,"avatIrRaH hariH SAntyE <<<deva-vipra>Di-Adi>Bs6-pAlakaH>T6
",agnipurana,"avatIrRaH hariH SAntyE deva vipra Adi pAlakaH
",O O O B-C I-C I-C I-C,"3,5 Di|3,6 Bs6|3,7 T6","3,5 Dvandva|3,6 Bahuvrihi|3,7 Tatpurusha","avatIrRaH hariH SAntyE <<<deva-vipra>Dvandva-Adi>Bahuvrihi-pAlakaH>Tatpurusha
"
32,"jamadagneH reRukAyAm BArgavaH <<Sastra-pAra>T6-gaH>U
",agnipurana,"jamadagneH reRukAyAm BArgavaH Sastra pAra gaH
",O O O B-C I-C I-C,"3,5 T6|3,6 U","3,5 Tatpurusha|3,6 Tatpurusha","jamadagneH reRukAyAm BArgavaH <<Sastra-pAra>Tatpurusha-gaH>Tatpurusha
"
33,"<sahasra-bAhuH>Bs6 <<sarva-urvI>K1-patiH>T6 saH mfgayAm gataH
",agnipurana,"sahasra bAhuH sarva urvI patiH saH mfgayAm gataH
",B-C I-C B-C I-C I-C O O O,"0,2 Bs6|2,4 K1|2,5 T6","0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha","<sahasra-bAhuH>Bahuvrihi <<sarva-urvI>Tatpurusha-patiH>Tatpurusha saH mfgayAm gataH
"
34,"pitaram nihatam dfzwvA <<pitf-nASa>T6-aBimarzitaH>T3
",agnipurana,"pitaram nihatam dfzwvA pitf nASa aBimarzitaH
",O O O B-C I-C I-C,"3,5 T6|3,6 T3","3,5 Tatpurusha|3,6 Tatpurusha","pitaram nihatam dfzwvA <<pitf-nASa>Tatpurusha-aBimarzitaH>Tatpurusha
"
35,"ityAdi <mahat-purARe>K1 Agneye <<<varAha-nfsiMha>Di-Adi>Bs6-avatAraH>K1 nAma caturTaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye varAha nfsiMha Adi avatAraH nAma caturTaH aDyAyaH
",O B-C I-C O B-C I-C I-C I-C O O O,"1,3 K1|4,6 Di|4,7 Bs6|4,8 K1","1,3 Tatpurusha|4,6 Dvandva|4,7 Bahuvrihi|4,8 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<<varAha-nfsiMha>Dvandva-Adi>Bahuvrihi-avatAraH>Tatpurusha nAma caturTaH aDyAyaH
"
36,"<<SrIrAma-avatAra>T6-varRanam>T6
",agnipurana,"SrIrAma avatAra varRanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<SrIrAma-avatAra>Tatpurusha-varRanam>Tatpurusha
"
37,"vAlmIkaye yaTA tadvat paWitam <<Bukti-mukti>Di-dam>U
",agnipurana,"vAlmIkaye yaTA tadvat paWitam Bukti mukti dam
",O O O O B-C I-C I-C,"4,6 Di|4,7 U","4,6 Dvandva|4,7 Tatpurusha","vAlmIkaye yaTA tadvat paWitam <<Bukti-mukti>Dvandva-dam>Tatpurusha
"
38,"<<<vizRu-nABi>T6-abja>K6-jaH>T5 brahmA marIciH brahmaRaH sutaH
",agnipurana,"vizRu nABi abja jaH brahmA marIciH brahmaRaH sutaH
",B-C I-C I-C I-C O O O O,"0,2 T6|0,3 K6|0,4 T5","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha","<<<vizRu-nABi>Tatpurusha-abja>Tatpurusha-jaH>Tatpurusha brahmA marIciH brahmaRaH sutaH
"
39,"<<yajYa-viGna>T6-vinASAya>T6 <viSvAmitra-arTitaH>T3 nfpaH
",agnipurana,"yajYa viGna vinASAya viSvAmitra arTitaH nfpaH
",B-C I-C I-C B-C I-C O,"0,2 T6|0,3 T6|3,5 T3","0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha","<<yajYa-viGna>Tatpurusha-vinASAya>Tatpurusha <viSvAmitra-arTitaH>Tatpurusha nfpaH
"
40,"rAmaH gataH <astra-SastrARi>Di SikzitaH <<tAqakA-anta>T6-kft>U
",agnipurana,"rAmaH gataH astra SastrARi SikzitaH tAqakA anta kft
",O O B-C I-C O B-C I-C I-C,"2,4 Di|5,7 T6|5,8 U","2,4 Dvandva|5,7 Tatpurusha|5,8 Tatpurusha","rAmaH gataH <astra-SastrARi>Dvandva SikzitaH <<tAqakA-anta>Tatpurusha-kft>Tatpurusha
"
41,"<vIrya-SulkAm>Bs6 ca janakaH sItAm kanyAm tu <na-<yoni-jAm>U>Tn
",agnipurana,"vIrya SulkAm ca janakaH sItAm kanyAm tu na yoni jAm
",B-C I-C O O O O O B-C I-C I-C,"0,2 Bs6|7,10 Tn|8,10 U","0,2 Bahuvrihi|7,10 Tatpurusha|8,10 Tatpurusha","<vIrya-SulkAm>Bahuvrihi ca janakaH sItAm kanyAm tu <na-<yoni-jAm>Tatpurusha>Tatpurusha
"
42,"<<pitf-Adi>Bs6-vacanam>T6 SrutvA taTA iti uktvA saH rAGavaH
",agnipurana,"pitf Adi vacanam SrutvA taTA iti uktvA saH rAGavaH
",B-C I-C I-C O O O O O O,"0,2 Bs6|0,3 T6","0,2 Bahuvrihi|0,3 Tatpurusha","<<pitf-Adi>Bahuvrihi-vacanam>Tatpurusha SrutvA taTA iti uktvA saH rAGavaH
"
43,"rAjA uvAca <vasizWa-AdIn>Bs6 <rAma-<rAjya-aBizecane>T7>T6
",agnipurana,"rAjA uvAca vasizWa AdIn rAma rAjya aBizecane
",O O B-C I-C B-C I-C I-C,"2,4 Bs6|4,7 T6|5,7 T7","2,4 Bahuvrihi|4,7 Tatpurusha|5,7 Tatpurusha","rAjA uvAca <vasizWa-AdIn>Bahuvrihi <rAma-<rAjya-aBizecane>Tatpurusha>Tatpurusha
"
44,"kEkayi tvam samuttizWa <rAma-<rAjya-aBizecanam>T7>T6
",agnipurana,"kEkayi tvam samuttizWa rAma rAjya aBizecanam
",O O O B-C I-C I-C,"3,6 T6|4,6 T7","3,6 Tatpurusha|4,6 Tatpurusha","kEkayi tvam samuttizWa <rAma-<rAjya-aBizecanam>Tatpurusha>Tatpurusha
"
45,"<<catur-daSa>Ds-samAH>K1 rAmaH vane vasatu saMyataH
",agnipurana,"catur daSa samAH rAmaH vane vasatu saMyataH
",B-C I-C I-C O O O O,"0,2 Ds|0,3 K1","0,2 Dvandva|0,3 Tatpurusha","<<catur-daSa>Dvandva-samAH>Tatpurusha rAmaH vane vasatu saMyataH
"
46,"yat mAm evam bravIzi tvam <<sarva-loka>K1-<<na-priyam>Tn-kari>U>T6
",agnipurana,"yat mAm evam bravIzi tvam sarva loka na priyam kari
",O O O O O B-C I-C I-C I-C I-C,"5,7 K1|5,10 T6|7,9 Tn|7,10 U","5,7 Tatpurusha|5,10 Tatpurusha|7,9 Tatpurusha|7,10 Tatpurusha","yat mAm evam bravIzi tvam <<sarva-loka>Tatpurusha-<<na-priyam>Tatpurusha-kari>Tatpurusha>Tatpurusha
"
47,"<<satya-pASa>K6-nibadDaH>T3 tu rAmam AhUya ca abravIt
",agnipurana,"satya pASa nibadDaH tu rAmam AhUya ca abravIt
",B-C I-C I-C O O O O O,"0,2 K6|0,3 T3","0,2 Tatpurusha|0,3 Tatpurusha","<<satya-pASa>Tatpurusha-nibadDaH>Tatpurusha tu rAmam AhUya ca abravIt
"
48,"<rAma-lakzmaRa-sItAH>Di ca tIrRAH ApuH prayAgakam
",agnipurana,"rAma lakzmaRa sItAH ca tIrRAH ApuH prayAgakam
",B-C I-C I-C O O O O,"0,3 Di","0,3 Dvandva","<rAma-lakzmaRa-sItAH>Dvandva ca tIrRAH ApuH prayAgakam
"
49,"supraBAte gAyanAH ca <sUta-mAgaDa-vandinaH>Di
",agnipurana,"supraBAte gAyanAH ca sUta mAgaDa vandinaH
",O O O B-C I-C I-C,"3,6 Di","3,6 Dvandva","supraBAte gAyanAH ca <sUta-mAgaDa-vandinaH>Dvandva
"
50,"pitaram <<tEla-droRi>T6-sTam>U saMskftya <sarayU-tawe>T6
",agnipurana,"pitaram tEla droRi sTam saMskftya sarayU tawe
",O B-C I-C I-C O B-C I-C,"1,3 T6|1,4 U|5,7 T6","1,3 Tatpurusha|1,4 Tatpurusha|5,7 Tatpurusha","pitaram <<tEla-droRi>Tatpurusha-sTam>Tatpurusha saMskftya <sarayU-tawe>Tatpurusha
"
51,"aham vanam prayAsyAmi <<yuzmad-AdeSa>T6-pratIkzakaH>T6
",agnipurana,"aham vanam prayAsyAmi yuzmad AdeSa pratIkzakaH
",O O O B-C I-C I-C,"3,5 T6|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","aham vanam prayAsyAmi <<yuzmad-AdeSa>Tatpurusha-pratIkzakaH>Tatpurusha
"
52,"rAjyAya aham na yAsyAmi satyAt <<cIra-jawA>Di-DaraH>U
",agnipurana,"rAjyAya aham na yAsyAmi satyAt cIra jawA DaraH
",O O O O O B-C I-C I-C,"5,7 Di|5,8 U","5,7 Dvandva|5,8 Tatpurusha","rAjyAya aham na yAsyAmi satyAt <<cIra-jawA>Dvandva-DaraH>Tatpurusha
"
53,"KaraH taTA iti tAm uktvA <<catur-daSa>Ds-sahasrakEH>Km
",agnipurana,"KaraH taTA iti tAm uktvA catur daSa sahasrakEH
",O O O O O B-C I-C I-C,"5,7 Ds|5,8 Km","5,7 Dvandva|5,8 Tatpurusha","KaraH taTA iti tAm uktvA <<catur-daSa>Dvandva-sahasrakEH>Tatpurusha
"
54,"<hastan-aSva-raTa-pAdAtam>Ds balam ninye <yama-kzayam>T6
",agnipurana,"hastan aSva raTa pAdAtam balam ninye yama kzayam
",B-C I-C I-C I-C O O B-C I-C,"0,4 Ds|6,8 T6","0,4 Dvandva|6,8 Tatpurusha","<hastan-aSva-raTa-pAdAtam>Dvandva balam ninye <yama-kzayam>Tatpurusha
"
55,"<<Kara-Adi>Bs6-hantuH>U rAmasya sItAm BAryAm harasva ca
",agnipurana,"Kara Adi hantuH rAmasya sItAm BAryAm harasva ca
",B-C I-C I-C O O O O O,"0,2 Bs6|0,3 U","0,2 Bahuvrihi|0,3 Tatpurusha","<<Kara-Adi>Bahuvrihi-hantuH>Tatpurusha rAmasya sItAm BAryAm harasva ca
"
56,"<<rAma-lakzmaRa>Di-raktasya>T6 pAnAt jIvAmi na anyaTA
",agnipurana,"rAma lakzmaRa raktasya pAnAt jIvAmi na anyaTA
",B-C I-C I-C O O O O,"0,2 Di|0,3 T6","0,2 Dvandva|0,3 Tatpurusha","<<rAma-lakzmaRa>Dvandva-raktasya>Tatpurusha pAnAt jIvAmi na anyaTA
"
57,"<<svarRa-citra>T6-mfgaH>T6 BUtvA <<rAma-lakzmaRa>Di-karzakaH>U
",agnipurana,"svarRa citra mfgaH BUtvA rAma lakzmaRa karzakaH
",B-C I-C I-C O B-C I-C I-C,"0,2 T6|0,3 T6|4,6 Di|4,7 U","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Dvandva|4,7 Tatpurusha","<<svarRa-citra>Tatpurusha-mfgaH>Tatpurusha BUtvA <<rAma-lakzmaRa>Dvandva-karzakaH>Tatpurusha
"
58,"<<SrIrAma-avatAra>T6-kaTanam>T6
",agnipurana,"SrIrAma avatAra kaTanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<SrIrAma-avatAra>Tatpurusha-kaTanam>Tatpurusha
"
59,"iti uktAH vAnarAH <<<pUrva-paScima-uttara>Di-mArga>T6-gAH>U
",agnipurana,"iti uktAH vAnarAH pUrva paScima uttara mArga gAH
",O O O B-C I-C I-C I-C I-C,"3,6 Di|3,7 T6|3,8 U","3,6 Dvandva|3,7 Tatpurusha|3,8 Tatpurusha","iti uktAH vAnarAH <<<pUrva-paScima-uttara>Dvandva-mArga>Tatpurusha-gAH>Tatpurusha
"
60,"<<rAma-vArttA>T6-SravAt>T6 pakzO jAtO BUyaH aTa jAnakIm
",agnipurana,"rAma vArttA SravAt pakzO jAtO BUyaH aTa jAnakIm
",B-C I-C I-C O O O O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<rAma-vArttA>Tatpurusha-SravAt>Tatpurusha pakzO jAtO BUyaH aTa jAnakIm
"
61,"paSyAmi <<aSoka-vanikA>K7-gatAm>T2 <laNkA-gatAm>T2 kila
",agnipurana,"paSyAmi aSoka vanikA gatAm laNkA gatAm kila
",O B-C I-C I-C B-C I-C O,"1,3 K7|1,4 T2|4,6 T2","1,3 Tatpurusha|1,4 Tatpurusha|4,6 Tatpurusha","paSyAmi <<aSoka-vanikA>Tatpurusha-gatAm>Tatpurusha <laNkA-gatAm>Tatpurusha kila
"
62,"<<Sata-yojana>K1-vistIrRe>T3 <lavaRa-abDO>K7 trikUwake
",agnipurana,"Sata yojana vistIrRe lavaRa abDO trikUwake
",B-C I-C I-C B-C I-C O,"0,2 K1|0,3 T3|3,5 K7","0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha","<<Sata-yojana>Tatpurusha-vistIrRe>Tatpurusha <lavaRa-abDO>Tatpurusha trikUwake
"
63,"kapInAm <jIvana-arTAya>T4 <<rAma-kAryya>T6-prasidDaye>T6
",agnipurana,"kapInAm jIvana arTAya rAma kAryya prasidDaye
",O B-C I-C B-C I-C I-C,"1,3 T4|3,5 T6|3,6 T6","1,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha","kapInAm <jIvana-arTAya>Tatpurusha <<rAma-kAryya>Tatpurusha-prasidDaye>Tatpurusha
"
64,"<<Sata-yojana>K1-vistIrRam>T3 pupluve abDim saH mArutiH
",agnipurana,"Sata yojana vistIrRam pupluve abDim saH mArutiH
",B-C I-C I-C O O O O,"0,2 K1|0,3 T3","0,2 Tatpurusha|0,3 Tatpurusha","<<Sata-yojana>Tatpurusha-vistIrRam>Tatpurusha pupluve abDim saH mArutiH
"
65,"na apaSyat <<pAna-BUmI>T6-AdO>Bs6 sItAm <cintA-parAyaRaH>T6
",agnipurana,"na apaSyat pAna BUmI AdO sItAm cintA parAyaRaH
",O O B-C I-C I-C O B-C I-C,"2,4 T6|2,5 Bs6|6,8 T6","2,4 Tatpurusha|2,5 Bahuvrihi|6,8 Tatpurusha","na apaSyat <<pAna-BUmI>Tatpurusha-AdO>Bahuvrihi sItAm <cintA-parAyaRaH>Tatpurusha
"
